LATITUDE       	LONGITUDE
43.108         	-91.392
41.525         	-94.725
42.275         	-92.308
42.608         	-92.225
41.858         	-93.725
42.858         	-92.392
42.608         	-95.142
42.858         	-92.892
42.358         	-94.642
41.858         	-94.725
41.442         	-95.142
41.608         	-91.225
43.025         	-93.475
42.858         	-95.558
41.025         	-93.892
42.942         	-94.975
42.692         	-91.308
41.858         	-95.642
40.608         	-92.225
40.858         	-93.642
42.608         	-91.475
40.858         	-91.058
43.275         	-95.392
42.608         	-91.058
43.275         	-94.558
42.692         	-91.808
42.858         	-93.058
40.775         	-95.558
41.858         	-94.475
42.442         	-92.558
41.775         	-94.392
43.192         	-93.892
41.608         	-95.642
41.108         	-91.392
43.442         	-92.558
42.442         	-95.392
41.692         	-92.142
42.025         	-90.892
41.608         	-92.892
41.108         	-91.892
41.442         	-91.392
42.108         	-91.058
41.358         	-91.975
43.442         	-94.308
40.692         	-91.225
41.858         	-91.808
41.275         	-91.225
40.942         	-93.558
43.275         	-96.392
41.442         	-92.975
42.025         	-93.225
40.942         	-95.475
43.442         	-92.892
42.108         	-96.142
41.108         	-92.892
41.108         	-95.392
41.525         	-91.225
43.358         	-95.558
40.775         	-95.392
43.192         	-94.558
42.858         	-96.142
42.858         	-94.892
41.775         	-93.642
41.442         	-95.475
40.858         	-94.392
42.442         	-95.225
41.608         	-90.808
41.608         	-95.558
43.025         	-96.475
41.858         	-93.475
42.275         	-92.392
41.108         	-94.142
40.608         	-91.808
41.108         	-92.308
41.358         	-93.808
41.358         	-91.725
40.858         	-93.558
42.358         	-93.975
43.442         	-93.975
43.108         	-91.642
42.358         	-96.392
42.858         	-93.808
39.608         	-102.058
37.775         	-100.975
39.108         	-100.225
37.858         	-101.225
39.108         	-101.475
39.442         	-100.225
39.192         	-101.475
39.192         	-101.392
39.108         	-101.558
38.275         	-101.558
39.025         	-84.392
38.692         	-85.142
38.692         	-82.975
38.608         	-83.642
44.525         	-70.308
44.608         	-68.142
44.608         	-69.475
44.275         	-70.392
46.025         	-68.558
45.025         	-69.392
44.358         	-69.475
39.025         	-76.725
39.442         	-76.808
38.608         	-76.558
39.358         	-77.142
39.608         	-75.808
38.525         	-77.225
38.358         	-76.142
39.358         	-77.225
39.358         	-79.475
39.442         	-76.308
39.275         	-77.142
38.858         	-76.725
39.108         	-75.892
38.275         	-76.558
38.192         	-75.642
38.775         	-75.975
39.608         	-77.892
38.525         	-75.725
38.025         	-75.475
44.692         	-83.892
44.858         	-83.808
43.858         	-84.142
41.858         	-85.308
42.192         	-85.308
43.025         	-84.475
45.858         	-86.808
42.692         	-84.892
43.192         	-83.558
43.942         	-84.225
43.108         	-84.475
43.692         	-83.142
43.025         	-85.308
43.692         	-84.975
42.108         	-85.642
43.275         	-83.308
44.358         	-85.892
43.525         	-85.475
43.608         	-84.558
43.275         	-84.975
44.858         	-84.058
43.775         	-85.642
45.525         	-84.225
43.525         	-84.142
43.525         	-82.808
43.358         	-83.225
46.942         	-95.558
45.775         	-94.308
45.358         	-96.142
45.108         	-95.642
46.858         	-96.392
45.858         	-96.142
47.108         	-94.975
45.025         	-95.225
44.608         	-96.225
47.275         	-96.058
48.275         	-97.142
44.942         	-94.392
45.858         	-94.308
44.442         	-93.975
47.358         	-96.308
46.442         	-95.475
48.108         	-96.475
47.858         	-96.642
45.608         	-95.725
47.775         	-96.308
44.858         	-95.225
45.442         	-94.058
44.692         	-94.642
45.442         	-94.142
45.608         	-95.808
45.275         	-95.808
46.275         	-95.142
45.692         	-96.308
